
---------- Begin Simulation Statistics ----------
simSeconds                                   0.970575                       # Number of seconds simulated (Second)
simTicks                                 970574693000                       # Number of ticks simulated (Tick)
finalTick                                970574693000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  13338.64                       # Real time elapsed on the host (Second)
hostTickRate                                 72764121                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8540868                       # Number of bytes of host memory used (Byte)
simInsts                                   3186452377                       # Number of instructions simulated (Count)
simOps                                     3720004217                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   238889                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     278889                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1941149387                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      4171703606                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3066965                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3950500110                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1325820                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            454766353                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1432016333                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               73807                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1907631584                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.070893                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.989139                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 553458668     29.01%     29.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 381483172     20.00%     49.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 261099888     13.69%     62.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 255848881     13.41%     76.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 211257954     11.07%     87.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 102994035      5.40%     92.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  89896198      4.71%     97.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  32850964      1.72%     99.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  18741824      0.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1907631584                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                16597614     37.80%     37.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     37.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     37.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     37.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     37.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     37.80% # attempts to use FU when none available (Count)
