
---------- Begin Simulation Statistics ----------
simSeconds                                   0.015108                       # Number of seconds simulated (Second)
simTicks                                  15108497500                       # Number of ticks simulated (Tick)
finalTick                                 15108497500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    176.34                       # Real time elapsed on the host (Second)
hostTickRate                                 85679571                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8541912                       # Number of bytes of host memory used (Byte)
simInsts                                     34258606                       # Number of instructions simulated (Count)
simOps                                       47957048                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   194279                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     271962                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         30216996                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        47979036                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      289                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       52078915                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     46                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                22276                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             47840                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  50                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            30172401                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.726045                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.388237                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6870967     22.77%     22.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6868652     22.76%     45.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9567194     31.71%     77.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2759139      9.14%     86.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2738238      9.08%     95.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1365118      4.52%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1951      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       926      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       216      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              30172401                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      25      1.08%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      1.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      1.08% # attempts to use FU when none available (Count)
