
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000077                       # Number of seconds simulated (Second)
simTicks                                     77444500                       # Number of ticks simulated (Tick)
finalTick                                    77444500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.41                       # Real time elapsed on the host (Second)
hostTickRate                                 54995650                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8540888                       # Number of bytes of host memory used (Byte)
simInsts                                       178431                       # Number of instructions simulated (Count)
simOps                                         207469                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   126699                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     147317                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           154890                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          276808                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      504                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         238367                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    184                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                69842                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            206978                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  61                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              121855                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.956153                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.249389                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     50448     41.40%     41.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     17402     14.28%     55.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     13115     10.76%     66.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     10651      8.74%     75.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      8961      7.35%     82.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7283      5.98%     88.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8768      7.20%     95.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3901      3.20%     98.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1326      1.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                121855                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     290     10.85%     10.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.85% # attempts to use FU when none available (Count)
